difficulty,missingSpaces,quizString
hard,47,000051000079402010600090342060080007408500900001600034230807100500000020090030706
hard,46,300010068800703105700090040000304020006270001095060000023905007004006850010420600
hard,49,050700900207400031604030870709200508000010000300006012020980300001070040005000006
hard,47,800900070210056040560000002000009018006087930040210000003005701000038065401060090
hard,47,000001200060400510004780390801045700605009030900000820210030680007200040030970000
hard,47,906030400005270018020900000403500701000001090087003520070128300060000000800400259
hard,46,000020900814005030200071006000006050050040389321080070900300107085900000760204005
hard,50,000300604050000070100860050010006097279010000003500008061000200090650000720049030
hard,46,600840000000205680010003009007980060109006570802050003900002000700409830056710200
hard,46,700186300059023000000070004230050000080900500100000647000045890510607020043810060
hard,47,800000006201040305409032710070096080000000000900504007004057109005003002786100004
hard,48,060780020800400061009500030050002497200908000041005000002160009006030518073000000
hard,47,400263700308450096020007100603570000005000803000010009759020040060000021000804050
hard,48,030040080000520130956000700140000008080450029305600000724100000000030507000908064
hard,46,040200000907031008000950037800090046430060590009520703704800000023670050060000100
hard,46,002190035140000070007006800060309017000850960420060000006204003958003002030070080
hard,47,000000150010703040804000002040800600030092004500630070300058010090060725201007806
hard,45,082041003030020791006053000025009010060010359000800407900087042070406000000530008
hard,47,800000704100382069025000010204007005039040180001063000070010906000029300508400000
hard,46,096000047000200300380000592810079035059001000700400180000360000004005078670904010
hard,45,090040000407001650082350010700860294000703080500024100001000005006082007009076320
hard,45,260900045003024000019603008500170000001000980072086000308500071740800690020400003
hard,48,006000030050049100870030060024800900000020710900350004005086002309500040010400078
hard,48,010200600704003002030604700900500270008040190050820000001700506302050081000090040
hard,47,080602070005900003000710005000040096076090280240030100038000002100508400920071500
hard,47,001047932005000780004290000040000005090360010080075600200000356070100809600920100
hard,47,008510200006004730900000081800095067604103002002400019000032040037001000260000500
hard,46,039070042087046000500320060005680907493000000800200100010090620000715008904000300
hard,48,040703009010450030320010800070209010008005062001040000900000001030678905004000280
hard,48,021800300700900050504700001450000037002060040003000809010203580308041060000007900
hard,47,000801065020000004010502700500107006400628090038000100063000040200793000950006028
hard,47,004000000015080097230607000300705000708209040060000051000100900500843062080092304
hard,47,360000008000004050820031000102478005007260003690010040501080760070000082000005401
hard,47,000074080910030002504000100007902408006510003120080050041208060090050070030006900
hard,49,900000354402708000000000007001000608076420000503069020310002005009045006008107000
hard,47,200140073078900000000003296000000020000056318004239500402000005850071040063000001
hard,45,093008000000234008700500021005072130010006009329000075800095403004080910060003800
hard,48,600700005409050807005043100702000390050000000001084502040801000090006080030007469
hard,47,900071604400680000007500231031009060860400753000000020720000300000800000340126090
hard,48,000078040074060900002100500200307100041000000590080760010249005300800000026050019
hard,49,023004800405000006000001007090050140050000032300870009610007050700490600089300200
hard,48,000890005004006080020070391007100000100005960600438070700000403089253000510600000
hard,47,100859000026001504300400170040930200702100008030060010098000002000007006050204390
hard,49,406030900029001380300200000630050008005000000008170062090500030000408100507062040
hard,51,060070028000098600035004010250060000073005406000780900020150007100000300000900040
hard,48,490060000205403070006001009060305800008070010940000700700800023000250480010604050
hard,48,004009300350800007060004125001050000090600008400287500020000409709300010810000670
hard,48,007040080000003406000062030300900070050016902240580001980070054106005009005000010
hard,47,410002000075980060800450009050020803007800900360070001603010048000030002042000105
hard,48,340800001009600520006210047905004800000930000103000060680105000000370100000020789
hard,47,010480060765009000000020007501070000490500000320100804000860370008900246032001009
hard,47,070003060394001000800090005400072000650008903013060080002006307008500040900420650
hard,49,061092000025800069007040030076150000090200083000004007000310590000060000003500478
hard,48,000005061000090800018040072900382000004500006273006500020007018009008604060030005
hard,49,007000800000040016300050207005800390008009004020106005009080030100602000806307509
hard,47,208306400000500008130704960800001000900600500304002081602800300070000024000095017
hard,48,900050700030000016200038005085601007040090500107200040409700068060020074000800300
hard,47,000006005003900040050020708400000170600075032002108009090080007038501260001042900
hard,47,006750080300000090007200034083005001070028940200906500000019026040300800500840007
hard,47,200500460600710030000800501006470190930020800008060050050030000000901204190604070
hard,46,204560100030270000000109400080000017400800950509002003068000020100700095905046780
hard,47,002704900030020047006800005408001700100960350050002080070050038000246000010000429
hard,46,500207004002063700071800030000050100960020070007046085039001058400000010018600209
hard,49,004300120700080000050600908600170082002040090580903610000400060000001500306002007
hard,47,027006090940780015006010300060490250710005060000000400000003509280600040009021080
hard,47,143960700080000000002078009700106904200834005050002010009507260300400850000010000
hard,47,507008000830004092009000004004025300081609070260700000900100480008053001600007530
hard,47,890200035000904607020015004100000509008000260000723000003500041601090080047001900
hard,48,102000040069000310040008502000901050074300200850070060003014800020705006600020009
hard,47,008000702673000000200031900081506007005093240000470060000902003900840605007005400
hard,47,050006003800070400073400080000000001210507600908201030007604009040103020020095810
hard,49,054020091006080400309100050287000010000010007060930000100350004090000078000708063
hard,47,043190008100005670070002030086009504051030020000000860009064100060200705502008000
hard,47,002510034100000000070306908050090800020040706407000021000004067035900002840073050
hard,46,760408030010600050040300720400000002000900587038060900001700400607890003390021008
hard,48,350009002000040000049507600068902140704060080900003060002031800000000907105600300
hard,48,050069803203010409700000120900002500008030060004705002170900000000008700090503604
hard,46,009010740001200683000503000200187500605904300970030200580000107004061000030700090
hard,47,308000005200008700190402000037005901810600070050130004004010890000246007060500300
hard,46,002500304001960780590004000308000016029810000050400027070050149000243600800000002
hard,48,700000092001090050030087004600409000100700506002350018006502400049060021080000030
hard,47,490000008060570002320400096070012340050603010800000009600140000040908700010005280
hard,47,020000800015062090403100006080200007000054020760308410009070500030845000600900304
hard,47,010047003074010600908502000350081070000006520000090068500004009760900010402070800
hard,47,009450700034009601050623800820004003003008495005100000007000386060700000900010020
hard,47,430000000020310640009074008041700000600800590500031700210560300090000086708000402
hard,45,905070600080203040000465900060812003423006090100040007500001874006000000300907520
hard,47,090630500000258700070000068054900002802003017003000400680005000000400629401709030
hard,48,062001890084000000000807050309040010020005000001360042607010035030900200000504107
hard,46,300000000020170506174806020540090301008000000612700089003604090006000804000029075
hard,48,001082050600090000050300004005006001004000920900700368020403009040061037807050100
hard,47,730609800520100904000800032690003501807060000010905020000000406000008053100340007
hard,46,037000600006005007205008190050830206020597408001040000310900080004200500000074029
hard,46,035102006270030095840700000000015009053900080000820047004000000098370610100086030
hard,46,031000000950030406604057001010306000590402600080010093000570302000209080068000075
hard,48,040070081100000952209008400000600100000735040807400309006250000005090703030040010
hard,46,098013260050700043001005700000080950180027400030100000009001020270630008000540690
hard,47,150208090060001000400300065000439000500000047890070206701006450620900703008000001
hard,47,000108070950063400400900360006020050005071040702000009070800000109005684030004021
hard,47,005030609600004000872001500017800090004316700500900020780005301000000040030760205
easy,9,091870354034591687758634192123450768846317520975286413412708905380145206567923841
easy,12,897354021650792843234186050549837002382615794170429385728043510905271038410568279
easy,4,980162375567938214132457869243810597856379142719245638475683921621504783098721456
easy,7,562139780108275693739648512320851976871490235906720841493567128285914367607382459
easy,8,948362105160874293732015648319457862004601930876239451581796324620548719497123586
easy,11,382751469496308715751496823604180972279603581815279306960810250128530694540962108
easy,8,237600984958374126416298375541026738863147592729835641104063259672589410395012067
easy,6,412586397876329415935741820543817209197632084628954173250103648784265931360498752
easy,5,891623547064157928257849631516498372943275180002361495675932814438716059129584763
easy,15,900623174471859326306471895143985067692700581085160903007218039809547012214396708
easy,6,634189275072536894895472361287605439359804016416793528721958643503061987968347152
easy,11,192536874037821659586794230745312908829650103360080527073168495914275386650903712
easy,12,300027614167894523542630780673145298825963471014782365056419007731258946480370052
easy,8,279641583308279406461835972037062194096410327142793065904157638683924751715386249
easy,13,254107368813564279697823450079342186360758942480019735148975623736081000920400817
easy,12,546970130913058700270610495627104953859237014130596872062349581485721369301865247
easy,8,504837109910624578287950634496785203158203796072169845621398457735416982849570361
easy,10,897234651024075390563910247419527863370069425256483179741356982982741506035090714
easy,11,635274981281560074974810652059001700416782093723956148568327419397148265140695037
easy,6,157348296349627581802519437098105623513062978726983154201856749974231865685794310
easy,9,387549162641320057590167438074986513916053824835412679753891246468270301109630785
easy,10,178250693936718245524309781849030167653187904017496358301820476782641039465973810
easy,12,538704106002830457174026309416359872920178645857642903260985734749210560385467291
easy,7,791652834325081069406973125647538912209164587518297046802349651954816273163720498
easy,7,532148967916725384478693010793416528285379041001852739357281496129564873064937102
easy,9,490571328032489657057362109683120594549836712271950836325698470918745260760213985
easy,6,351672984084591723072438605048150367765843192193267548830714256416325879527986431
easy,5,296358714104706008837412596578143629643925871921687450369574182712869345485231967
easy,7,079608351154923687683157249826591473347860915915734826068375102590286730732419568
easy,9,357096140641873925829051630065927483483615270972084506736542891018769354594138762
easy,3,469703521712549368358621947605214739104357286273968154926875413831492675547136892
easy,10,271305864568724931934860725753146089180953647496207513840532176615408302327610408
easy,5,260147983973862405841359267497215836386794521012638794628571349154903672739420158
easy,9,206107984017469253439852160380591746974623815165784329701245038643918572028376091
easy,6,918564732264739185735812964847150293190287546052493871520948307301675429479321658
easy,8,927801534415973682836245791698137045270586913150492876542710368761358429089024057
easy,12,586914372437825691291763584942356017708491235315270460603107900159682043804539006
easy,8,154807236902461785678352041426735198807249603395618472763104529289506314541923067
easy,8,918546372053829641264173895831657924529438067647912538495701203182304756370280019
easy,5,836795412549123687107648593275369841480572369693814275304081026712456938968237154
easy,7,705618324240379815138204097510982736867531249320467581051723468683145972472896153
easy,5,947853261153762948682100703731594826420617395596238174269481537875326419314075682
easy,5,208743096346159728975628134561837249497016853832495671683972415704361982129084367
easy,6,053694072972813465864072390416938250735241986298765143381456729549127638627380514
easy,6,395420708604891253812730496260978345958364172437152869186249537540687921729513684
easy,9,238756104497023856615489372981372645074865219562904080109637028753098461826541937
easy,11,975100043184937526326504791261895374758643219439271000643729058590018467817056932
easy,8,432175869659038702180269453040517236275386194361924500013892645596741328824653971
easy,8,920381746614795803873026951061948300597213468438657192149862537700139284382574619
easy,11,748962351613574289290381674472139865956248013831756902529010036384605097007493508
easy,10,910527043375468129246319058863742915791085432524901800450173286602894571187256094
easy,9,809001523536420710071853469483605271617208954925107386794586132162374895358912647
easy,5,741956823289143657506802419463729581952381746807465392320694175175208964694517238
easy,9,928160574453028619067459830231547968609812453045936127500271386786395241312604795
easy,13,730491060861735042495682010578946231613278490924153706350814009140529873209367154
easy,6,079582436420716895586493172361247589257839601048651723810364957794125368605978214
easy,7,879546123264137589510928674042765318781392465635814297026409851198253700457681930
easy,6,619382547570146829482509136840267395096451278725938614958713460234695781067824953
easy,7,308294756452736189796851002241568937683902514070143268837619405524387691169425873
easy,7,769382100418596327230741869841025736627813945093460218156278493374159082982634571
easy,5,194786200257139648368204791481692375725318064639475182542963817973041526816527439
easy,5,963107825582639417710508396256980741438761952197254683329816574675492130841375269
easy,7,174659382369012745805003961657498123248371659931526478786135204493287506012964837
easy,4,817095246924176538035842719482961357756283491391750682169437825540629173273518964
easy,10,476529831801437026239168054720693145504271389090854602682710493945386207317942568
easy,9,107938625526710893389652741602401589418295376795803412970186054051347960864529137
easy,11,349025768687034510125007439214568903973412856560379201756893004491250387832741695
easy,7,804529670376418592259637148062980357593760281187053964645372819728196405931845726
easy,3,145863729789421653263750148592148367831276495476395812327514980918632574654087231
easy,5,394175268627389451810624973982713645536492810741560309168237594259841736473056182
easy,7,852306419916254083473901256724610098695420371381795642539142867247869135168530924
easy,4,365912478721340596948657213596134827472865139813729654680291345259483701034576982
easy,9,654003802732568941819724635321859467467201589085607213570382194198405326243916058
easy,6,653421879942783501187569023861295347470638192239174680024807956596342718718956234
easy,8,542693781790854632836701905357419268089237154104586379408362597965178420270945816
easy,4,371428596895613472426957813549236187618745239702001645087169354154372968963584721
easy,10,285974361409310520107526498013789246608102703724603819806297134942831675371465982
easy,9,869312547705946380243578619030281790927463158481059263698127435052604871104835926
easy,5,867495312324816579915237680256180497093752168781649203630971845149528736578364921
easy,3,573062189962318754184957263695284371430195826218673945341026598756839412829541637
easy,9,521374906786519230943628517419800362635241809278906145364195728092063451157482093
easy,10,269743015358691724014528963985214607406057198137869400693470281842136079570982346
easy,11,893461257652793481071258900935847162120609578700125394048316729260074813317902645
easy,7,241785360893146070765923418429318706017654890586279143638491527974032681152867934
easy,11,357890412481035967926174538743580629219763845568429103830617290192048756670002301
easy,8,975623841124895673386741052091576034537284190460319587218457369753902418649008725
easy,6,469502371823607045157934682504371269916258734732469518695140827048725196271896453
easy,6,367504219154239876982167354493806721725941083618372495240795138001428967879613542
easy,4,627835410958214076134796852546928731391467285872150694263589147489671520715342968
easy,5,476189532295436187831725064648912753729853641513640298087091426154068379962374815
easy,12,568190043134652987792384506815963402670428035043715698481276359927531804350849000
easy,8,600975280257864319984012675176253948842691037390740126469127850728539461531486792
easy,4,821463759957182030364759182495321867276598341138674925519236478703815296682947013
easy,5,819763425645128390723040816352870149196534782487291503978452631564319278231687954
easy,10,340728169009064570687015432136209857758136924024857316873092641562401793491673285
easy,10,308276594562394170947815236175438629826150340409062815054921083293687450781543062
easy,10,957462813460350972230089005629175348184293657573846200095618724712934086846527139
easy,7,619078354050691872782534691930185246048367519501942738895423067126759483374816925
easy,7,735486219619352748020719653906578321153294867287163094594827136860035402372641985
easy,11,369187204205469813481253906016392547734805692592046138627501489958600301143928760
medium,19,627039185903581000815276043280000369756098421439162857562914708094057612100600094
medium,18,940185300067249051185367209003958176701620580058471932014530708809014625506892413
medium,17,527064980189572463060819527930006745604057038750483019370208196291030874846791350
medium,24,015802460249063580007954312004600025152480690063520708506748231001295876728006050
medium,18,942673085857149023360802704005017306410508209796234518678420930009386457534790802
medium,24,506924007038061092009387516082005601060418279104692853001200908803106724007849135
medium,21,702040100016830002805612437300704200601359748947081563584100029109428375273596814
medium,16,547206198216850347038471260871002659650908723329560810080704936060195482492603571
medium,25,840025609205000401603184527726948003934517208158063900017890340362401095080006702
medium,23,367091582409000107025678340002837406836249715904150230700013620003704851641582900
medium,20,591684003602319084430200196003401957940835612100092430060073201725148369304926875
medium,19,562048013789123400431675298674092581300864920900051634056409372800200059093517846
medium,19,600315029193082567058679340710823654506194273432700910947068030021537496365900002
medium,25,296817345754203108013594206605320700102050830009701600060000587527148963908600421
medium,22,306097420005000009019524306172345098963782001854619702691438250027956813538200900
medium,21,968017203010239468240805970006102790791608340400973016825796134139520000674301529
medium,14,362010978070639152519278460697184325045703019183592640006351780758906031431827596
medium,18,008302716091864352623715894804001903030478205207936048485120637976583421302640009
medium,26,578004920091005403430189765050830679020701854987456010015043090049507130063908540
medium,18,591670482720401639063928571800360254904782163002140097385290716106037905279510340
medium,13,759842163813007094642139750084210305135704682276305419027568930091473826068921547
medium,19,810905200267004539053672108740090023632417895589320017075043002426759381398261750
medium,25,097521684000308719800947053680105920920804361003690800008259436056780102239406508
medium,21,269137504035860217008045309503602098100793002972584036894370625621050900357906841
medium,13,837401500261875394495062807124637985783259641659184270978500126516708430302016058
medium,22,695317824800004607347820590529741380063080409780690010076430152431275060258169003
medium,28,073050219691070840540001673000130506030860194056009730968742301715000482320518007
medium,21,419628350738159046560730089900207605380460702270503010150942863894306021023805974
medium,22,830751946476892035951463027609507203125340790703219654208030500504978360360000080
medium,20,634971528209680137817035000421058670003712485085496213300029800198540062540803791
medium,18,208359017053176800700842095834007156591683024627514083000961538165430270389720461
medium,27,700600540009375021528914300890500004400809200352041608987203010165480932234196780
medium,24,924001068070050204035208197307810042410362085502470613841627309296580400703094820
medium,20,056203914741896503392401768209145680087930105410080039964720351173004092000319476
medium,24,501009607679004850284607103360102080742890516190570024827931465000725038953408200
medium,22,653400100978021634042000785200710360561080402807004091785946213329007846416832957
medium,26,004175000207008900318942650796030205485627103023500086870459301531786000649210078
medium,16,010602983382795401964083752047038195521074836893006007478301629039467018106829374
medium,26,123900500048021793079084106915270408402000957087400612234609071000043065856710349
medium,17,653410002248765901719280560406850193035147026000930457320594618060378249894621375
medium,12,982645371541037682376820945813264597695710034427590810169370458730456029254180700
medium,16,001050876087196342326470005732581690165924738849360050610749523953810467070635189
medium,27,800370104390610857175480326000700219000040030257931060903827041741563082082004673
medium,16,902465178485091236607020459563240081298136745741589020150678392829010067306952800
medium,26,170092800683450709590608304436219500059000231200030906040083652367105098820964173
medium,20,426138570397600082815070463130860024602017935050293810271040308503789041948301657
medium,18,000750164810326759576104823060473295942560300735982641451237906697805402203040510
medium,23,138296050459800362702504891381469075527080046906725138273008000015600729694070080
medium,20,203195486148627593596000217927518300614070859085004721401239078002841005039750140
medium,22,847506009001407005635021087453872091189653042760149000094710236276390018308205974
medium,16,407096283103850906908273415632048050084605309519730608276589134395021860841367592
medium,19,083179540401082630527040819175068394230900780968034051759821060846397025302456908
medium,21,860043152020896430407012906794158600682437591010269748200074010003985264906321870
medium,18,024890106581024903679053824065000090493502061817369042958216430136045289742908615
medium,24,578420639003850021100693570700346902429510360356200800230105796600934280095762140
medium,22,193060780270839604048100029481596207562083491709412568907300146810620050356900802
medium,17,612089735503760020074530169408375902709040653351096480145027396036914578907653241
medium,27,106000407503142086284697300001850274942730518008214639030071040019020703827063005
medium,18,604259130350416209129803406508962013730004962962137845803790604295001378076328091
medium,17,803974526720603184054080030370518942040306875085749013497201358138495200562837491
medium,20,801423679094568320623170854109234507080617943347890216210946708900001400070302195
medium,29,231409067405632081080157423064008132700090804528004600007005218000800796896700345
medium,19,314725896857300241602840370531000689409156723706038104075093468948617502200584007
medium,21,169425738458300091732091605071040500894607103523080476340018062906702804285964310
medium,19,238169000590047326470020891153790080960380012840651739385006907629478153714935208
medium,18,126037458350068091984150637601025043548319702732806019015070984009581326863290105
medium,14,580903276621500908900620401468239715050784362237156894346875109802361547715492680
medium,18,092034785007529134305780296500478629724396851009205073458067310903842067276103940
medium,18,570109284948702103123548967690257308037904615854316020760491030482673500019820406
medium,19,694108507715364980382905614007400800928057341406010705500286170871540296263791458
medium,23,931407208784296315502381907328005194019040702400912800170638420803520601200174080
medium,18,342006190198342675570081324009714850250803416014620730465207901923108047701459263
medium,16,307051986460920300859637401592016730178543692603792518916084275705269140230175800
medium,30,384296175791004082020187493273900854859700310106538709000003040530010000460005030
medium,18,098302765276901084045867912850013496412609038630504120784096200903425870021738649
medium,22,207089415509040820680125730120890504408201690965734281052068140796402308041073902
medium,24,438506719170309402620471053250197308314250906907043500502804037703905280801700690
medium,14,574608930923054618168209754040921870895360421217485396080142563050090247432576189
medium,23,065070049430069080897214536270005401001782395350040720586021004924650803713498652
medium,15,170536492943872605562149837689703041354018726210650300805097060091365278736281054
medium,19,009802716680357294270906835197634582803571460465090173308100640906785300710063958
medium,21,974005010802904375003782496090056730635409820417328069741063900320041687586297043
medium,17,365472108000569074947010526723085049510296037698347050851704903439658712076931085
medium,22,230801540506703098178054206067318000901276480823549761394187600615002870702695010
medium,22,540001023710092568820300140691803057485217390300569814164728930038006072057934601
medium,24,012895040487612395506074081050048103104069578768000409805020004921450837640187052
medium,14,186409732702618059045372618018005274294007561057240983461090825873524196529086347
medium,16,045080267063472851728016340594207180832054976671308425006039512317825690259041708
medium,17,528960043063827501019435602601580924302679815095014376054098167186750439937140050
medium,13,064759830851342967900681524120578096685493102479020085318264009596817243742930618
medium,15,723496051184370926056120437490817300038654009601239584849561270317902645562703098
medium,15,314589062589726134067314958748053019120908543935042876600030491891467325053001680
medium,21,257496030960078450834005769049687203123549078080013594000830947078904120492761380
medium,19,317860402004315978089402001651030294408920563923540180842603719035194826100207345
medium,17,821600749000412683436897512154329876278105934369700201045030198082540060613908425
medium,14,401328957003754261750906804180263049027145306346807125018639072639472518074581693
medium,25,739210504450070231000504769892051400163400908574689302385142090941060025627000043
medium,17,710856024965102738480900605396084201520319476170065890647021389859673102231408067
medium,12,740281605020750481581430297974103568156897024238645710392078146860314972410962853
medium,20,834691025105023690296008400953872046080549203427106089319207054708015902562904317
